"Title","Authors","Publish Date (Year)"
"Going the Other Way: Lessons from a Life In and Out of Major League Baseball","By Bean, Billy and Bull, Chris","2004"
"Consider Your Options: Get the Most from Your Equity Compensation","By Thomas, Kaye A.","2000"
"Molecular Cell Biology","By Lodish, Harvey F., Baltimore, David, and Berk, Arnold (CON)","1995"
"Majendie's Cat","By Fowlkes, Frank V.","1986"
"First Things First","By Covey, Stephen R., Merrill, A. Roger, and Merrill, Rebecca R.","1994"
"Best Friends: The True Story of the World's Most Beloved Animal Sanctuary","By Glen, Samantha and Moore, Mary Tyler (INT)","2001"
"The Festival Cookbook: Four Seasons of Favorites","By Good, Phyllis Pellman","2013"
"Shella","By Vachss, Andrew H.","1993"
"What To Cook When You Think There's Nothing in the House To Eat: More Than 175 Easy Recipes And Meal Ideas","By Schwartz, Arthur","2000"
"Little Vegetarian Feasts: Main-Dish Grains","By Shulman, Martha Rose and Drechsler, Debbie (ILT)","1993"
"Stir-Fry (Sunset Creative Cooking Library)","By Sunset Books","1994"
"Collected Stories of Reynolds Price","By Price, Reynolds","1993"
"DIY Girl","By Gesue, Monica (ILT) and Bonnell, Jennifer","2003"
"The Divine Pastime: Theatre Essays","By Clurman, Harold","1974"
"What's Bred in the Bone (Cornish Trilogy)","By Davies, Robertson","1985"
"Mastering the Zone: The Next Step in Achieving SuperHealth and Permanent Fat Loss","By Sears, Barry and Goodbody, Mary","1997"
"North Carolina Lighthouses","By David Stick","1984"
"Analyzing Performance Problems, or You Really Oughta Wanna","By Robert Frank Mager, Peter Pipe","1984"
"Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle)","By Pipher, Mary Bray","1995"
"Napoleon and Hitler","By Seward, Desmond","1989"
"Encounter and Encouragement: A Bicentennial Review of German-American Relations","By Joachim Hans Schwelien","1976"
"Too Busy to Clean","By Barrett, Patti","1994"
"Keeping Your Kids Catholic: It May Seem Impossible but It Can Be Done","By Bert Ghezzi","1989"
"Vines (Burpee American Gardening Series)","By Bales, Suzanne Frutig","1995"
"Roads to Antietam","By Schildt, John W.","1997"
"Nursery Rhymes: A Collection from Mother Goose (Illustrated Library for Child.)","By Hale, Glorya (EDT), Anderson, Anne, Lee, Ella Doldar, Anderson, Anne (ILT), and Lee, Ella Doldar (ILT)","2000"
"The Art of Cooking with Herbs & Spices","By Miloradovich, Milo","1950"
"The uncommon cookbook","By Mellinkoff, Ruth","1968"
"List Your Self: Listmaking as the Way to Self-Discovery","By Segalove, Ilene and Velick, Paul Bob","1996"
"The Insider's Guide to Getting Published: Why They Always Reject Your Manuscript and What You Can Do About It","By Boswell, John","1996"
"Walking the Cat by Tommy "" Tip"" Paine: Gordon Liddy Is My Muse II","By Batchelor, John Calvin","1991"
"The Theory of the Modern Stage: An Introduction to Modern Theatre and Drama","By Eric  Bentley","1976"
"Mistler's Exit","By Begley, Louis","1998"
"Small Patchwork & Quilting","By Linsley, Leslie, Aron, Jon (PHT), and Savonen, Robby (ILT)","1993"
"A Portfolio of Outdoor Furnishing Ideas (Portfolio Ofideas)","By Cowles Creative Publishing, Cy Decosse Inc","1996"
"Cooking With Helen McCully Beside You","By McCully, Helen","1970"
"Christopher Idone's Glorious American Food","By Idone, Christopher","1985"
"Family portrait","By Bowen, Catherine Drinker","1970"
"The Whole Shebang: A State-of-the-Universe(s) Report","By Ferris, Timothy","1997"
"Eating Well for Optimum Health: The Essential Guide to Bringing Health and Pleasure Back to Eating","By Weil, Andrew","2001"
"Teverton Hall","By Gillespie, Jane","1984"
"Inference of guilt","By Greene, Harris","1982"
"Lines in the Sand: Desert Storm and the Remaking of the Arab World","By Amos, Deborah","1992"
"The Witling","By Vinge, Vernor","1986"
"The Courage to Be Rich: Creating a Life of Material and Spiritual Abundance","By Orman, Suze","1999"
"Hamlet (Oxford World's Classics)","By Shakespeare, William and Hibbard, G. R. (EDT)","1998"
"The Playboy of the Western World and Other Plays: Riders to the Sea; The Shadow of the Glen; The Tinker's Wedding; The Well of the Saints; The Playboy ... of the Sorrows (Oxford World's Classics)","By Synge, John Millington and Saddlemyer, Ann (EDT)","1998"
"Grandparenthood","By Westheimer, Ruth K. and Kaplan, Steven","2000"
"Twelve","By Kittredge, Elaine","1983"
"Cycles of Fire: Stars, Galaxies and the Wonder of Deep Space","By Hartmann, William K.","1987"
"The Dancing Healers: A Doctor's Journey of Healing with Native Americans","By Hammerschlag, Carl A.","1989"
"Time Exposure: A Photographic Record of the Dinosaur Age","By Dixon, Dougal and Burton, Jane","1984"
"The Way of the Trout: Anglers, Wild Fish and Running Water","By Montgomery, M. R. and Brown-Wing, Katherine (ILT)","1993"
"Hope Was Here (Newbery Honor Book)","By Bauer, Joan","2000"
"A Tale of Two Cities (Oxford World's Classics)","By Dickens, Charles and Sanders, Andrew (EDT)","1998"
"Frank Sinatra: An American Legend","By Sinatra, Nancy","1998"
"WP8 - Theory Lessons - Level 2 - Bastien Piano Library","By James Bastien","1976"
"Who Owns America?","By Hickel, Walter J.","1971"
"Bloodsong","By Neimark, Jill","1993"
"The Vampire Book: The Encyclopedia of the Undead","By Melton, J. Gordon","1998"
"A Midsummer Night's Dream (Oxford World's Classics)","By Shakespeare, William and Holland, Peter (EDT)","1998"
"Bob Miller's Calc for the Clueless: Calc I (Bob Miller's Clueless Series)","By Miller, Robert","1997"
"Mariel of Redwall","By Jacques, Brian and Chalk, Gary (ILT)","2000"
"The Body Book: A Fantastic Voyage to the World Within","By Bodanis, David","1984"
"Nerilka's Story (Dragonriders of Pern Series)","By McCaffrey, Anne","1987"
"Americas: The Changing Face of Latin America and the Caribbean (A Main Selection of the History Book Club)","By Winn, Peter","1995"
"Mayo Clinic On Vision And Eye Health: Practical Answers on Glaucoma, Cataracts, Macular Degeneration & Other Conditions (""MAYO CLINIC ON"" SERIES)","By Mayo Clinic (COR) and Buettner, Helmut (EDT)","2002"
"Parrot in the Oven: Mi vida (Cover May Vary)","By Martinez, Victor","2004"
